author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"রায়, সুকুমার","সুকুমার রায়","","375","","2015-10-29T05:30:00+05:30","Kindle Bangla","Kindle Bangla","সুকুমার রায় গল্প সমগ্র","795d0093-08a7-441f-ae73-7c3210d89b37"
"রায়, সুকুমার","সুকুমার রায়","","376","","2016-01-12T05:30:00+05:30","Kindle Bangla","Kindle Bangla","আবোল তাবোল","40412bdb-6f2e-46df-8af7-7218bb5bbdaa"
"রায়চৌধুরী, উপেন্দ্রকিশোর","উপেন্দ্রকিশোর রায়চৌধুরী","","377","","2020-05-10T05:30:00+05:30","Kindle Bangla","Kindle Bangla","গল্পমালা","548f3322-745b-435f-b433-312c0b51fb02"
"চট্টোপাধ্যায়, বঙ্কিমচন্দ্র","বঙ্কিমচন্দ্র চট্টোপাধ্যায়","","378","","2023-04-08T23:30:00+05:30","Kindle Bangla","Kindle Bangla","দেবী চৌধুরাণী","4e7247ab-3ba2-45ed-af3f-4bfa09c279c5"
"চট্টোপাধ্যায়, বঙ্কিমচন্দ্র","বঙ্কিমচন্দ্র চট্টোপাধ্যায়","","379","","2023-08-02T23:30:00+05:30","Kindle Bangla","Kindle Bangla","কপালকুণ্ডলা","619920f5-4ecf-4525-8be4-3225f6466b71"
"চট্টোপাধ্যায়, বঙ্কিমচন্দ্র","বঙ্কিমচন্দ্র চট্টোপাধ্যায়","","380","","2023-04-08T23:30:00+05:30","Kindle Bangla","Kindle Bangla","দুর্গেশনন্দিনী","2935a380-3465-4c9c-a2cc-96e57c2ed96d"
"মুখোপাধ্যায়, শীর্ষেন্দু","শীর্ষেন্দু মুখোপাধ্যায়","","381","","2021-10-03T00:00:00+05:30","Kindle Bangla","Kindle Bangla","অসমাপ্ত","dee2f0e1-6af4-4616-bcba-8f109a8b2656"
"মুখোপাধ্যায়, শীর্ষেন্দু","শীর্ষেন্দু মুখোপাধ্যায়","","382","","2023-03-13T05:30:00+05:30","Kindle Bangla","Kindle Bangla","শীর্ষেন্দুর সেরা ১০১","257cb078-112b-4f3e-8fe7-af5a4efb5d3a"
"মুখোপাধ্যায়, শীর্ষেন্দু","শীর্ষেন্দু মুখোপাধ্যায়","","383","","2023-03-13T05:30:00+05:30","Kindle Bangla","Kindle Bangla","রহস্য সমগ্র-শীর্ষেন্দু মুখোপাধ্যায়","b70830cb-658a-4d20-a607-3e1523011883"
"মুখোপাধ্যায়, শীর্ষেন্দু","শীর্ষেন্দু মুখোপাধ্যায়","","384","","2020-06-22T05:30:00+05:30","Kindle Bangla","Kindle Bangla","গল্পসমগ্র","edeb5afd-a58e-474a-94d2-e33b79f99b11"
"ভৌমিক, অনিল","অনিল ভৌমিক","","385","","2023-09-16T23:30:00+05:30","Kindle Bangla","Kindle Bangla","হীরক সিন্দুকের সন্ধানে","cb7561e2-8986-4b57-b389-1487f2937fba"
"মুখোপাধ্যায়, শীর্ষেন্দু","শীর্ষেন্দু মুখোপাধ্যায়","","386","","2023-03-12T05:30:00+05:30","Kindle Bangla","Kindle Bangla","চক্র","302b3f53-d6da-49bf-933a-fdddf4d4a24d"
"ভৌমিক, অনিল","অনিল ভৌমিক","","387","","2023-09-17T23:30:00+05:30","Kindle Bangla","Kindle Bangla","অভিশপ্ত দ্বীপে ফ্রান্সিস","3fbac32e-297f-41f2-8ca7-c51364cbae39"
"ভৌমিক, অনিল","অনিল ভৌমিক","","388","","2023-09-16T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ভাঙা আয়নার রহস্য","8316f7c9-9a03-4606-b7c8-f2cc7c0d43cc"
"ভৌমিক, অনিল","অনিল ভৌমিক","","389","","2023-09-16T23:30:00+05:30","Kindle Bangla","Kindle Bangla","পাথরের ফুলদানি","a65ccfd0-2b43-4e75-bcdb-43ad82d406ab"
"ঠাকুর, রবীন্দ্রনাথ","রবীন্দ্রনাথ ঠাকুর","","390","","2023-07-10T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ঘরে-বাইরে","8f249a84-46ed-4243-828d-c5086c1e6f54"
"ঠাকুর, রবীন্দ্রনাথ","রবীন্দ্রনাথ ঠাকুর","","391","","2015-09-05T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ছেলেবেলা","888e08ff-0937-4c8a-b256-5321fc9788ee"
"ঠাকুর, রবীন্দ্রনাথ","রবীন্দ্রনাথ ঠাকুর","","392","mobi-asin:41584669-b3ee-4bb8-a772-9b88e0ffffca","2023-07-23T23:30:00+05:30","Kindle Bangla","Kindle Bangla","কিশোর রচনাসমগ্র","b544b77a-0224-4bef-a248-03c4270c536f"
"ঠাকুর, রবীন্দ্রনাথ","রবীন্দ্রনাথ ঠাকুর","","393","","2023-07-23T05:30:00+05:30","Kindle Bangla","Kindle Bangla","রবীন্দ্র উপন্যাস সমগ্র","5477a6ca-18d5-4a33-9938-fad3c401b4a5"
"ঠাকুর, রবীন্দ্রনাথ","রবীন্দ্রনাথ ঠাকুর","","394","","2020-05-17T05:30:00+05:30","Kindle Bangla","Kindle Bangla","গল্পগুচ্ছ","d957d869-e2c0-4e51-8e79-d65f290928b6"
"রায়, সত্যজিৎ","সত্যজিৎ রায়","","395","","2023-08-28T23:30:00+05:30","Kindle Bangla","Kindle Bangla","প্রফেসর শঙ্কুর কান্ডকারখানা","98848f83-edf1-4372-8bef-c81e2593e1f5"
"রায়, সত্যজিৎ","সত্যজিৎ রায়","","396","","2023-08-29T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ফটিকচাঁদ","f749a7de-8cfe-4b96-bc7d-15bc328a9391"
"রায়, সত্যজিৎ","সত্যজিৎ রায়","","397","","2023-03-13T23:30:00+05:30","Kindle Bangla","Kindle Bangla","প্রোফেসর শঙ্কু সমগ্র","57fdddcb-18a7-4566-8842-cda6b0a3e96a"
"রায়, সত্যজিৎ","সত্যজিৎ রায়","","398","","2023-07-22T23:30:00+05:30","Kindle Bangla","Kindle Bangla","একেই বলে শুটিং","2eb2430e-e83d-4619-9510-f4a32eae78aa"
"রায়, সত্যজিৎ","সত্যজিৎ রায়","","399","","2023-03-16T05:30:00+05:30","Kindle Bangla","Kindle Bangla","শঙ্কু সমগ্র","71a757f4-309f-412c-a67b-cf5e136617dd"
"মজুমদার, সমরেশ","সমরেশ মজুমদার","","400","","2023-11-07T23:30:00+05:30","Kindle Bangla","Kindle Bangla","স্বনামধন্য","45314366-1072-4e57-9487-19f35ecf7ae2"
"মজুমদার, সমরেশ","সমরেশ মজুমদার","","401","","2023-11-07T23:30:00+05:30","Kindle Bangla","Kindle Bangla","সমরেশ মজুমদারের গল্প সমগ্র","57328836-bca9-4162-bada-dcae4fa2654b"
"মজুমদার, সমরেশ","সমরেশ মজুমদার","","404","","2023-08-08T23:30:00+05:30","Kindle Bangla","Kindle Bangla","গর্ভধারিণী","53c6d561-7ebf-4fd1-af12-4792da88df64"
"মজুমদার, সমরেশ","সমরেশ মজুমদার","","405","","2023-03-12T05:30:00+05:30","Kindle Bangla","Kindle Bangla","কালবেলা","0fe51b69-0a34-4c29-935b-b0044e08dbd4"
"মজুমদার, সমরেশ","সমরেশ মজুমদার","","406","","2023-03-12T05:30:00+05:30","Kindle Bangla","Kindle Bangla","কালপুরুষ","ef065531-d3e5-4319-98e7-9537308c9565"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","407","","2023-08-31T23:30:00+05:30","Kindle Bangla","Kindle Bangla","একটি নারীর পুনর্জন্ম","ef681e00-7100-4fc9-bca0-d06cfa94c08f"
